,Zip Code,Date,Hour,Average PM25
874,60637,5/22/17,13,39.05941103
878,60637,5/23/17,10,48.71546536
884,60637,5/23/17,10,48.71546536
887,60608,5/24/17,8,46.839341
889,60637,5/24/17,8,47.83050673
892,60637,5/24/17,20,44.2686897
893,60637,5/24/17,9,48.42166667
897,60637,5/24/17,10,48.18024091
901,60608,5/24/17,21,48.98063768
903,60637,5/24/17,18,45.34743884
907,60608,5/24/17,20,48.94412955
908,60608,5/24/17,8,46.839341
910,60637,5/24/17,8,47.83050673
913,60637,5/24/17,20,44.2686897
914,60637,5/24/17,9,48.42166667
918,60637,5/24/17,10,48.18024091
922,60608,5/24/17,21,48.98063768
924,60637,5/24/17,18,45.34743884
928,60608,5/24/17,20,48.94412955
929,60608,5/25/17,19,44.06650581
936,60637,5/25/17,18,43.89500583
938,60608,5/25/17,8,51.16025083
939,60637,5/25/17,17,66.10263685
940,60637,5/25/17,9,52.52669834
948,60608,5/25/17,19,44.06650581
955,60637,5/25/17,18,43.89500583
957,60608,5/25/17,8,51.16025083
958,60637,5/25/17,17,66.10263685
959,60637,5/25/17,9,52.52669834
968,60608,5/26/17,8,53.43372495
972,60608,5/26/17,8,53.43372495
978,60637,5/27/17,18,46.33122222
980,60608,5/27/17,19,44.652255700000005
984,60637,5/27/17,9,43.89887883
985,60637,5/27/17,10,41.39901408
1000,60637,5/27/17,18,46.33122222
1002,60608,5/27/17,19,44.652255700000005
1006,60637,5/27/17,9,43.89887883
1007,60637,5/27/17,10,41.39901408
1029,60610,5/30/17,18,38.00836585
1030,60610,5/30/17,17,36.64174879
1034,60608,5/30/17,8,40.47345887
1037,60637,5/30/17,9,41.20929926
1038,60637,5/30/17,14,37.48095238
1040,60637,5/30/17,13,38.17824147
1051,60610,5/30/17,18,38.00836585
1052,60610,5/30/17,17,36.64174879
1056,60608,5/30/17,8,40.47345887
1059,60637,5/30/17,9,41.20929926
1060,60637,5/30/17,14,37.48095238
1062,60637,5/30/17,13,38.17824147
1069,60608,5/31/17,19,37.4752127
1074,60637,5/31/17,9,39.36710383
1075,60637,5/31/17,18,39.18088139
1084,60608,5/31/17,8,39.38670954
1085,60608,5/31/17,19,37.4752127
1090,60637,5/31/17,9,39.36710383
1091,60637,5/31/17,18,39.18088139
1100,60608,5/31/17,8,39.38670954
1101,60637,6/1/17,9,40.72505158
1102,60637,6/1/17,9,40.72505158
1103,60637,6/2/17,18,43.57607776
1108,60637,6/2/17,10,38.721171399999996
1115,60637,6/2/17,9,38.47458333
1118,60637,6/2/17,18,43.57607776
1123,60637,6/2/17,10,38.721171399999996
1130,60637,6/2/17,9,38.47458333
1141,60637,6/5/17,14,43.21644378
1144,60610,6/5/17,8,45.29676923
1154,60610,6/5/17,7,44.00289474
1158,60637,6/5/17,13,45.82707331
1159,60637,6/5/17,12,53.99305026
1166,60637,6/5/17,19,42.67860097
1178,60637,6/5/17,14,43.21644378
1181,60610,6/5/17,8,45.29676923
1191,60610,6/5/17,7,44.00289474
1195,60637,6/5/17,13,45.82707331
1196,60637,6/5/17,12,53.99305026
1203,60637,6/5/17,19,42.67860097
1224,60637,6/6/17,12,39.90390258
1226,60610,6/6/17,7,41.14711039
1228,60637,6/6/17,18,40.58725601
1235,60637,6/6/17,17,40.06511209
1239,60637,6/6/17,11,40.3167878
1250,60637,6/6/17,10,40.90616147
1265,60637,6/6/17,12,39.90390258
1267,60610,6/6/17,7,41.14711039
1269,60637,6/6/17,18,40.58725601
1276,60637,6/6/17,17,40.06511209
1280,60637,6/6/17,11,40.3167878
1291,60637,6/6/17,10,40.90616147
1294,60608,6/7/17,19,37.38858696
1301,60637,6/7/17,16,40.99826007
1302,60637,6/7/17,18,39.55088979
1313,60637,6/7/17,10,41.76592052
1332,60608,6/7/17,19,37.38858696
1339,60637,6/7/17,16,40.99826007
1340,60637,6/7/17,18,39.55088979
1351,60637,6/7/17,10,41.76592052
1375,60637,6/8/17,17,40.55844444
1378,60637,6/8/17,18,41.43854678
1398,60637,6/8/17,17,40.55844444
1401,60637,6/8/17,18,41.43854678
1415,60637,6/9/17,19,46.6276959
1424,60637,6/9/17,12,45.1729375
1433,60637,6/9/17,20,46.5152381
1437,60637,6/9/17,19,46.6276959
1446,60637,6/9/17,12,45.1729375
1455,60637,6/9/17,20,46.5152381
1462,60637,6/10/17,10,43.51235556
1464,60608,6/10/17,23,42.99391588
1467,60610,6/10/17,9,43.84058997
1481,60637,6/10/17,19,41.78258263
1484,60637,6/10/17,9,44.31724992
1488,60637,6/10/17,10,43.51235556
1490,60608,6/10/17,23,42.99391588
1493,60610,6/10/17,9,43.84058997
1507,60637,6/10/17,19,41.78258263
1510,60637,6/10/17,9,44.31724992
1511,60637,6/11/17,0,43.738
1513,60608,6/11/17,0,43.74821044
1514,60637,6/11/17,0,43.738
1516,60608,6/11/17,0,43.74821044
1518,60637,6/12/17,13,48.28502347
1519,60637,6/12/17,10,48.90172243
1522,60637,6/12/17,14,47.48670757
1526,60637,6/12/17,18,47.14513717
1529,60637,6/12/17,13,48.28502347
1530,60637,6/12/17,10,48.90172243
1533,60637,6/12/17,14,47.48670757
1537,60637,6/12/17,18,47.14513717
1539,60610,6/13/17,21,52.14519252
1541,60637,6/13/17,10,49.55919721
1543,60637,6/13/17,8,51.15700722
1553,60608,6/13/17,19,50.12784861
1556,60637,6/13/17,20,49.39163061
1558,60608,6/13/17,8,54.76028838
1561,60637,6/13/17,9,51.34996818
1564,60637,6/13/17,19,49.03589156
1577,60610,6/13/17,21,52.14519252
1579,60637,6/13/17,10,49.55919721
1581,60637,6/13/17,8,51.15700722
1591,60608,6/13/17,19,50.12784861
1594,60637,6/13/17,20,49.39163061
1596,60608,6/13/17,8,54.76028838
1599,60637,6/13/17,9,51.34996818
1602,60637,6/13/17,19,49.03589156
1625,60637,6/15/17,13,51.07001007
1627,60637,6/15/17,12,49.62723121
1628,60637,6/15/17,11,48.47893332
1630,60637,6/15/17,10,48.61322792
1633,60637,6/15/17,17,53.56238876
1634,60608,6/15/17,8,50.48837893
1635,60637,6/15/17,19,49.06169284
1642,60637,6/15/17,13,51.07001007
1644,60637,6/15/17,12,49.62723121
1645,60637,6/15/17,11,48.47893332
1647,60637,6/15/17,10,48.61322792
1650,60637,6/15/17,17,53.56238876
1651,60608,6/15/17,8,50.48837893
1652,60637,6/15/17,19,49.06169284
1667,60637,6/17/17,9,57.51749526
1673,60608,6/17/17,8,51.74816327
1675,60637,6/17/17,9,57.51749526
1681,60608,6/17/17,8,51.74816327
1702,60637,6/20/17,9,43.22082069
1707,60637,6/20/17,18,46.41690558
1710,60608,6/20/17,18,46.59848673
1721,60637,6/20/17,17,46.24830631
1723,60637,6/20/17,10,44.88852431
1726,60608,6/20/17,9,42.52574855
1728,60637,6/20/17,9,43.22082069
1733,60637,6/20/17,18,46.41690558
1736,60608,6/20/17,18,46.59848673
1747,60637,6/20/17,17,46.24830631
1749,60637,6/20/17,10,44.88852431
1752,60608,6/20/17,9,42.52574855
1755,60637,6/21/17,18,46.92320323
1767,60637,6/21/17,10,46.54438484
1771,60608,6/21/17,18,46.22647603
1773,60637,6/21/17,17,47.39519546
1785,60610,6/21/17,10,44.99481771
1791,60637,6/21/17,18,46.92320323
1803,60637,6/21/17,10,46.54438484
1807,60608,6/21/17,18,46.22647603
1809,60637,6/21/17,17,47.39519546
1821,60610,6/21/17,10,44.99481771
1825,60637,6/22/17,18,51.46485597
1826,60637,6/22/17,10,50.91118215
1839,60637,6/22/17,18,51.46485597
1840,60637,6/22/17,10,50.91118215
1853,60610,6/23/17,20,40.27888372
1857,60637,6/23/17,18,45.15622353
1861,60608,6/23/17,8,50.27266046
1862,60637,6/23/17,9,51.66874452
1864,60637,6/23/17,15,47.74890057
1868,60608,6/23/17,17,40.32689
1871,60608,6/23/17,9,50.93724638
1883,60637,6/23/17,19,42.97771039
1907,60637,6/23/17,10,48.03553229
1908,60610,6/23/17,10,46.34174603
1909,60610,6/23/17,20,40.27888372
1913,60637,6/23/17,18,45.15622353
1917,60608,6/23/17,8,50.27266046
1918,60637,6/23/17,9,51.66874452
1920,60637,6/23/17,15,47.74890057
1924,60608,6/23/17,17,40.32689
1927,60608,6/23/17,9,50.93724638
1939,60637,6/23/17,19,42.97771039
1963,60637,6/23/17,10,48.03553229
1964,60610,6/23/17,10,46.34174603
1972,60608,6/25/17,0,40.49492063
1975,60608,6/25/17,0,40.49492063
1993,60637,6/27/17,18,43.36260839
1999,60637,6/27/17,18,43.36260839
2003,60608,6/28/17,8,41.31422778
2005,60608,6/28/17,19,45.51966125
2006,60637,6/28/17,9,43.02357847
2007,60637,6/28/17,19,46.32833333
2015,60637,6/28/17,18,46.79300513
2023,60608,6/28/17,8,41.31422778
2025,60608,6/28/17,19,45.51966125
2026,60637,6/28/17,9,43.02357847
2027,60637,6/28/17,19,46.32833333
2035,60637,6/28/17,18,46.79300513
2048,60637,6/29/17,8,47.172669299999995
2050,60637,6/29/17,18,49.069880100000006
2052,60608,6/29/17,7,47.89346276
2053,60637,6/29/17,9,46.02259594
2061,60637,6/29/17,8,47.172669299999995
2063,60637,6/29/17,18,49.069880100000006
2065,60608,6/29/17,7,47.89346276
2066,60637,6/29/17,9,46.02259594
2069,60637,6/30/17,19,63.66840796
2070,60608,6/30/17,8,49.62835443
2081,60637,6/30/17,18,57.61954633
2084,60637,6/30/17,9,51.58492676
2085,60637,6/30/17,19,63.66840796
2086,60608,6/30/17,8,49.62835443
2097,60637,6/30/17,18,57.61954633
2100,60637,6/30/17,9,51.58492676
2101,60637,7/1/17,10,47.88546667
2106,60608,7/1/17,8,47.10509722
2108,60637,7/1/17,10,47.88546667
2113,60608,7/1/17,8,47.10509722
2115,60637,7/3/17,10,54.92911354
2117,60637,7/3/17,9,55.50543353
