Zip Code,Date,Hour,Average PM25
60612,5/9/18,17,44.78283166
60644,5/9/18,7,40.65940837
60607,5/9/18,17,45.14178082
60611,5/9/18,16,48.71195652
0,5/9/18,11,45.69188703
60602,5/9/18,16,56.29065804
60601,5/9/18,7,45.1592402
60654,5/9/18,16,47.41196078
0,5/9/18,7,41.27295614
60624,5/9/18,17,43.88941176
60644,5/9/18,17,44.1428849
60602,5/9/18,7,44.65064748
60601,5/10/18,8,46.6712202
0,5/10/18,12,41.48118434
60612,5/10/18,7,43.62396686
60654,5/10/18,17,43.30333333
60602,5/10/18,17,45.73733706
0,5/10/18,8,48.0393615
60602,5/10/18,7,50.49860215
0,5/10/18,15,43.91325291
0,5/10/18,16,45.06072308
60642,5/10/18,18,49.25721212
60601,5/10/18,17,42.61680798
60644,5/10/18,7,45.15890228
60607,5/10/18,18,45.69686869
60642,5/10/18,17,49.99479303
0,5/10/18,17,44.24426463
60644,5/10/18,18,43.07330435
0,5/10/18,7,48.30908173
60607,5/10/18,7,47.74809766
60612,5/10/18,18,44.84511254
60624,5/10/18,18,42.88756303
0,5/10/18,18,42.49468718
60611,5/10/18,17,43.07946309
60601,5/10/18,7,47.53307054
0,5/10/18,14,42.76137645
60624,5/10/18,7,43.76557823
60601,5/10/18,8,46.6712202
0,5/10/18,12,41.48118434
60612,5/10/18,7,43.62396686
60654,5/10/18,17,43.30333333
60602,5/10/18,17,45.73733706
0,5/10/18,8,48.0393615
60602,5/10/18,7,50.49860215
0,5/10/18,15,43.91325291
0,5/10/18,16,45.06072308
60642,5/10/18,18,49.25721212
60601,5/10/18,17,42.61680798
60644,5/10/18,7,45.15890228
60607,5/10/18,18,45.69686869
60642,5/10/18,17,49.99479303
0,5/10/18,17,44.24426463
60644,5/10/18,18,43.07330435
0,5/10/18,7,48.30908173
60607,5/10/18,7,47.74809766
60612,5/10/18,18,44.84511254
60624,5/10/18,18,42.88756303
0,5/10/18,18,42.49468718
60611,5/10/18,17,43.07946309
60601,5/10/18,7,47.53307054
0,5/10/18,14,42.76137645
60624,5/10/18,7,43.76557823
60611,5/11/18,8,37.19545894
60602,5/11/18,8,39.16453052
60601,5/11/18,8,38.68448357
0,5/11/18,9,44.48209591
0,5/11/18,8,46.52286938
0,5/11/18,17,45.18005874
60644,5/11/18,7,43.23546625
0,5/11/18,7,39.4570227
0,5/11/18,15,45.04794138
60644,5/11/18,8,42.98333333
0,5/11/18,16,44.65190805
60611,5/11/18,8,37.19545894
60602,5/11/18,8,39.16453052
60601,5/11/18,8,38.68448357
0,5/11/18,9,44.48209591
0,5/11/18,8,46.52286938
0,5/11/18,17,45.18005874
60644,5/11/18,7,43.23546625
0,5/11/18,7,39.4570227
0,5/11/18,15,45.04794138
60644,5/11/18,8,42.98333333
0,5/11/18,16,44.65190805
0,5/14/18,11,48.8344
0,5/14/18,9,55.56792453
0,5/14/18,8,56.57145055
0,5/14/18,10,47.44837302
0,5/14/18,11,48.8344
0,5/14/18,9,55.56792453
0,5/14/18,8,56.57145055
0,5/14/18,10,47.44837302
0,5/15/18,14,45.58525142
0,5/15/18,18,39.50571429
60610,5/15/18,18,40.32712121
60602,5/15/18,17,41.63983592
60612,5/15/18,7,44.9020298
0,5/15/18,15,45.14718262
0,5/15/18,10,46.96447761
60624,5/15/18,7,45.08812274
60644,5/15/18,20,39.10945887
60607,5/15/18,7,49.80241664
60607,5/15/18,17,42.92159091
60601,5/15/18,18,40.72140476
60601,5/15/18,17,39.74910628
60611,5/15/18,18,39.49160643
60614,5/15/18,19,35.653125
0,5/15/18,7,53.1943299
60644,5/15/18,7,48.72981818
0,5/15/18,20,39.96939394
0,5/15/18,14,45.58525142
0,5/15/18,18,39.50571429
60610,5/15/18,18,40.32712121
60602,5/15/18,17,41.63983592
60612,5/15/18,7,44.9020298
0,5/15/18,15,45.14718262
0,5/15/18,10,46.96447761
60624,5/15/18,7,45.08812274
60644,5/15/18,20,39.10945887
60607,5/15/18,7,49.80241664
60607,5/15/18,17,42.92159091
60601,5/15/18,18,40.72140476
60601,5/15/18,17,39.74910628
60611,5/15/18,18,39.49160643
60614,5/15/18,19,35.653125
0,5/15/18,7,53.1943299
60644,5/15/18,7,48.72981818
0,5/16/18,7,42.2610658
0,5/16/18,10,43.54782474
60601,5/16/18,8,40.13068519
60607,5/16/18,7,49.79510949
60612,5/16/18,7,45.06104921
60624,5/16/18,7,43.98362319
60624,5/16/18,17,42.86217778
0,5/16/18,11,42.43293835
60644,5/16/18,17,43.26726872
60602,5/16/18,17,47.57666667
0,5/16/18,15,44.29936827
0,5/16/18,14,43.33988355
60607,5/16/18,8,55.6319685
60612,5/16/18,17,46.08720149
0,5/16/18,12,41.60598551
0,5/16/18,13,43.87287568
60602,5/16/18,8,41.71893417
60607,5/16/18,17,50.30748387
60611,5/16/18,17,44.04855072
0,5/16/18,16,44.26188637
60644,5/16/18,7,43.89086257
60601,5/16/18,17,51.34734791
60611,5/16/18,8,41.14752688
0,5/16/18,17,45.68441274
0,5/16/18,18,40.82887097
0,5/16/18,7,42.2610658
0,5/16/18,10,43.54782474
60601,5/16/18,8,40.13068519
60607,5/16/18,7,49.79510949
60612,5/16/18,7,45.06104921
60624,5/16/18,7,43.98362319
60624,5/16/18,17,42.86217778
0,5/16/18,11,42.43293835
60644,5/16/18,17,43.26726872
60602,5/16/18,17,47.57666667
0,5/16/18,15,44.29936827
0,5/16/18,14,43.33988355
60607,5/16/18,8,55.6319685
60612,5/16/18,17,46.08720149
0,5/16/18,12,41.60598551
0,5/16/18,13,43.87287568
60602,5/16/18,8,41.71893417
60607,5/16/18,17,50.30748387
60611,5/16/18,17,44.04855072
0,5/16/18,16,44.26188637
60644,5/16/18,7,43.89086257
60601,5/16/18,17,51.34734791
60611,5/16/18,8,41.14752688
0,5/16/18,17,45.68441274
0,5/16/18,18,40.82887097
60607,5/17/18,7,52.56535244
60601,5/17/18,7,49.01097305
60644,5/17/18,7,47.874729
60601,5/17/18,8,46.14889262
60602,5/17/18,7,50.73184211
60624,5/17/18,7,50.87153153
0,5/17/18,10,45.97131579
60604,5/17/18,14,41.72885154
60612,5/17/18,7,49.18234724
0,5/17/18,7,53.68956235
60605,5/17/18,14,41.78154556
60601,5/17/18,14,44.15611111
60607,5/17/18,7,52.56535244
60601,5/17/18,7,49.01097305
60644,5/17/18,7,47.874729
60601,5/17/18,8,46.14889262
60602,5/17/18,7,50.73184211
60624,5/17/18,7,50.87153153
0,5/17/18,10,45.97131579
60604,5/17/18,14,41.72885154
60612,5/17/18,7,49.18234724
0,5/17/18,7,53.68956235
60605,5/17/18,14,41.78154556
60601,5/17/18,14,44.15611111
60604,5/18/18,7,40.0575
60601,5/18/18,7,45.39908367
60604,5/18/18,7,40.0575
60601,5/18/18,7,45.39908367
0,5/21/18,14,64.00690845
0,5/21/18,15,66.35466643
0,5/21/18,14,64.00690845
0,5/21/18,15,66.35466643
0,5/22/18,15,46.3102807
0,5/22/18,12,44.90100769
0,5/22/18,14,46.57161044
0,5/22/18,16,54.62994386
0,5/22/18,15,46.3102807
0,5/22/18,12,44.90100769
0,5/22/18,14,46.57161044
0,5/22/18,16,54.62994386
0,5/27/18,16,45.3303452
0,5/27/18,16,45.3303452
0,5/29/18,13,53.94729119
0,5/29/18,12,53.11537127
0,5/29/18,14,53.642
0,5/29/18,13,53.94729119
0,5/29/18,12,53.11537127
0,5/29/18,14,53.642
60611,5/30/18,16,42.06008772
60601,5/30/18,16,41.84291667
0,5/30/18,8,51.67317543
60611,5/30/18,17,44.05458763
60601,5/30/18,17,43.17770492
60611,5/30/18,16,42.06008772
60601,5/30/18,16,41.84291667
0,5/30/18,8,51.67317543
60611,5/30/18,17,44.05458763
60601,5/30/18,17,43.17770492
0,5/31/18,16,49.16123141
60618,5/31/18,12,46.84859649
60618,5/31/18,10,52.62101576
60647,5/31/18,11,47.42574096
60647,5/31/18,13,46.37494624
60618,5/31/18,11,46.79516326
0,5/31/18,14,49.89529447
0,5/31/18,13,48.59706655
0,5/31/18,9,50.51984127
60618,5/31/18,13,46.38364614
60647,5/31/18,12,46.60459433
60647,5/31/18,10,47.84164223
0,5/31/18,8,52.01653264
0,5/31/18,16,49.16123141
60618,5/31/18,12,46.84859649
60618,5/31/18,10,52.62101576
60647,5/31/18,11,47.42574096
60647,5/31/18,13,46.37494624
60618,5/31/18,11,46.79516326
0,5/31/18,14,49.89529447
0,5/31/18,13,48.59706655
0,5/31/18,9,50.51984127
60618,5/31/18,13,46.38364614
60647,5/31/18,12,46.60459433
60647,5/31/18,10,47.84164223
0,5/31/18,8,52.01653264
0,6/1/18,15,47.47500658
0,6/1/18,15,47.47500658
0,6/5/18,14,45.00386005
0,6/5/18,13,45.85537679
0,6/5/18,16,40.82532274
0,6/5/18,14,45.00386005
0,6/5/18,13,45.85537679
0,6/5/18,16,40.82532274
0,6/6/18,9,44.35921068
0,6/6/18,8,44.26895439
0,6/6/18,12,44.79266446
0,6/6/18,9,44.35921068
0,6/6/18,8,44.26895439
0,6/6/18,12,44.79266446
60608,6/7/18,16,59.86734179
60608,6/7/18,16,59.86734179
60608,6/8/18,8,49.96331922
60608,6/8/18,8,49.96331922
0,6/11/18,15,58.15548366
0,6/11/18,16,56.42903699
0,6/11/18,15,58.15548366
0,6/11/18,16,56.42903699
60654,6/12/18,15,54.18445071
60602,6/12/18,15,38.11468832
0,6/12/18,14,55.51319993
0,6/12/18,13,54.773371
0,6/12/18,15,55.00869115
60601,6/12/18,15,55.56375171
60605,6/12/18,15,44.25333333
0,6/12/18,16,54.43543257
60603,6/12/18,15,33.46325643
60604,6/12/18,15,40.98558988
60611,6/12/18,15,57.97197615
60654,6/12/18,15,54.18445071
60602,6/12/18,15,38.11468832
0,6/12/18,14,55.51319993
0,6/12/18,13,54.773371
0,6/12/18,15,55.00869115
60601,6/12/18,15,55.56375171
60605,6/12/18,15,44.25333333
0,6/12/18,16,54.43543257
60603,6/12/18,15,33.46325643
60604,6/12/18,15,40.98558988
60611,6/12/18,15,57.97197615
60625,6/13/18,12,41.69140039
60659,6/13/18,13,40.26032051
60625,6/13/18,14,42.1958156
60625,6/13/18,13,41.77314952
60625,6/13/18,12,41.69140039
60659,6/13/18,13,40.26032051
60625,6/13/18,14,42.1958156
60625,6/13/18,13,41.77314952
60625,6/14/18,13,43.0636782
0,6/14/18,12,45.22045474
0,6/14/18,11,44.4379591
60625,6/14/18,14,42.82769583
60659,6/14/18,13,41.8706275
60625,6/14/18,13,43.0636782
0,6/14/18,12,45.22045474
0,6/14/18,11,44.4379591
60625,6/14/18,14,42.82769583
60659,6/14/18,13,41.8706275
0,6/15/18,10,48.6546807
0,6/15/18,14,52.03110724
0,6/15/18,9,48.50149833
60625,6/15/18,13,46.89867794
0,6/15/18,8,46.93223849
0,6/15/18,11,50.10004534
0,6/15/18,15,49.34998125
0,6/15/18,13,49.26862257
60625,6/15/18,14,47.15618576
60659,6/15/18,13,46.64392713
0,6/15/18,10,48.6546807
0,6/15/18,14,52.03110724
0,6/15/18,9,48.50149833
60625,6/15/18,13,46.89867794
0,6/15/18,8,46.93223849
0,6/15/18,11,50.10004534
0,6/15/18,15,49.34998125
0,6/15/18,13,49.26862257
60625,6/15/18,14,47.15618576
60659,6/15/18,13,46.64392713
60644,6/16/18,12,46.48239673
0,6/16/18,12,52
60644,6/16/18,13,45.72039187
60644,6/16/18,14,50.09490458
60644,6/16/18,15,51.5259685
60644,6/16/18,11,45.98977941
60644,6/16/18,12,46.48239673
0,6/16/18,12,52
60644,6/16/18,13,45.72039187
60644,6/16/18,14,50.09490458
60644,6/16/18,15,51.5259685
60644,6/16/18,11,45.98977941
0,6/17/18,15,51.74355061
0,6/17/18,14,52.28052001
0,6/17/18,15,51.74355061
0,6/17/18,14,52.28052001
60601,6/18/18,14,29.36458333
60601,6/18/18,14,29.36458333
60608,6/19/18,9,44.58779542
60601,6/19/18,9,45.46365297
60616,6/19/18,10,43.34412817
60608,6/19/18,11,37.61281347
60608,6/19/18,10,40.31115256
60609,6/19/18,11,39.75080032
0,6/19/18,15,53.49846871
0,6/19/18,14,55.81646893
60609,6/19/18,13,36.0617908
60616,6/19/18,12,47.07356494
60609,6/19/18,10,44.39781043
60616,6/19/18,9,55.61031008
60609,6/19/18,12,37.43298
0,6/19/18,13,55.77755153
60616,6/19/18,11,36.19236969
60608,6/19/18,9,44.58779542
60601,6/19/18,9,45.46365297
60616,6/19/18,10,43.34412817
60608,6/19/18,11,37.61281347
60608,6/19/18,10,40.31115256
60609,6/19/18,11,39.75080032
0,6/19/18,15,53.49846871
0,6/19/18,14,55.81646893
60609,6/19/18,13,36.0617908
60616,6/19/18,12,47.07356494
60609,6/19/18,10,44.39781043
60616,6/19/18,9,55.61031008
60609,6/19/18,12,37.43298
0,6/19/18,13,55.77755153
60616,6/19/18,11,36.19236969
60616,6/20/18,14,42.01875
60653,6/20/18,15,56.50438095
60608,6/20/18,13,41.50232558
60616,6/20/18,13,42.03908629
60616,6/20/18,15,57.55450806
60615,6/20/18,15,57.09884835
60616,6/20/18,14,42.01875
60653,6/20/18,15,56.50438095
60608,6/20/18,13,41.50232558
60616,6/20/18,13,42.03908629
60616,6/20/18,15,57.55450806
60615,6/20/18,15,57.09884835
0,6/22/18,13,53.71009557
0,6/22/18,17,52.41158433
0,6/22/18,13,53.71009557
0,6/22/18,17,52.41158433
60601,6/25/18,19,49.15037801
60613,6/25/18,20,51.09666667
60640,6/25/18,20,50.43386629
60610,6/25/18,19,50.06217204
60611,6/25/18,19,49.96960171
60657,6/25/18,19,50.25898187
0,6/25/18,19,49.62801075
60613,6/25/18,19,50.53709016
60625,6/25/18,20,50.43209677
60614,6/25/18,19,49.79037622
60601,6/25/18,19,49.15037801
60613,6/25/18,20,51.09666667
60640,6/25/18,20,50.43386629
60610,6/25/18,19,50.06217204
60611,6/25/18,19,49.96960171
60657,6/25/18,19,50.25898187
0,6/25/18,19,49.62801075
60613,6/25/18,19,50.53709016
60625,6/25/18,20,50.43209677
60614,6/25/18,19,49.79037622
60601,6/26/18,15,32.61056063
60601,6/26/18,17,28.92277778
60641,6/26/18,11,44.91685602
60630,6/26/18,15,40.7691811
60641,6/26/18,12,55.56777778
60601,6/26/18,9,41.29953917
60654,6/26/18,15,41.56666667
60601,6/26/18,19,28.5172184
0,6/26/18,13,53.4901485
60630,6/26/18,10,43.61526105
60601,6/26/18,16,29.17944444
60634,6/26/18,14,40.0495643
60630,6/26/18,11,43.45668006
0,6/26/18,12,51.6284719
60634,6/26/18,11,42.43071789
60641,6/26/18,15,40.72941176
60647,6/26/18,15,34.95129151
0,6/26/18,10,55.30491849
0,6/26/18,11,52.55900552
60641,6/26/18,14,40.65090748
60640,6/26/18,8,47.90967005
60601,6/26/18,10,41.9402811
60618,6/26/18,15,35.43151862
60622,6/26/18,15,38.81890244
60641,6/26/18,9,38
60634,6/26/18,12,43.48657718
60641,6/26/18,10,45.43838739
60601,6/26/18,11,42.59196429
60625,6/26/18,8,47.89132919
60601,6/26/18,18,28.82006555
60601,6/26/18,20,26.3125
60630,6/26/18,9,41.61146497
60601,6/26/18,15,32.61056063
60601,6/26/18,17,28.92277778
60641,6/26/18,11,44.91685602
60630,6/26/18,15,40.7691811
60641,6/26/18,12,55.56777778
60601,6/26/18,9,41.29953917
60654,6/26/18,15,41.56666667
60601,6/26/18,19,28.5172184
0,6/26/18,13,53.4901485
60630,6/26/18,10,43.61526105
60601,6/26/18,16,29.17944444
60634,6/26/18,14,40.0495643
60630,6/26/18,11,43.45668006
0,6/26/18,12,51.6284719
60634,6/26/18,11,42.43071789
60641,6/26/18,15,40.72941176
60647,6/26/18,15,34.95129151
0,6/26/18,10,55.30491849
0,6/26/18,11,52.55900552
60641,6/26/18,14,40.65090748
60640,6/26/18,8,47.90967005
60601,6/26/18,10,41.9402811
60618,6/26/18,15,35.43151862
60622,6/26/18,15,38.81890244
60641,6/26/18,9,38
60634,6/26/18,12,43.48657718
60641,6/26/18,10,45.43838739
60601,6/26/18,11,42.59196429
60625,6/26/18,8,47.89132919
60601,6/26/18,18,28.82006555
60601,6/26/18,20,26.3125
0,6/27/18,13,48.74727967
0,6/27/18,12,46.97172341
0,6/27/18,13,48.74727967
0,6/27/18,12,46.97172341
60612,6/28/18,14,54.51703704
0,6/28/18,17,49.80274064
60612,6/28/18,11,55.16566871
0,6/28/18,11,87
60612,6/28/18,10,53.22462003
60612,6/28/18,14,54.51703704
0,6/28/18,17,49.80274064
60612,6/28/18,11,55.16566871
0,6/28/18,11,87
60612,6/28/18,10,53.22462003
60620,6/29/18,10,49.67990779
0,6/29/18,9,52.57268136
0,6/29/18,17,55.27188125
0,6/29/18,12,54.38793082
60620,6/29/18,9,49.84202532
0,6/29/18,8,40.37554348
0,6/29/18,10,51.67253841
0,6/29/18,13,52.71982587
60620,6/29/18,10,49.67990779
0,6/29/18,9,52.57268136
0,6/29/18,17,55.27188125
0,6/29/18,12,54.38793082
60620,6/29/18,9,49.84202532
0,6/29/18,8,40.37554348
0,6/29/18,10,51.67253841
0,6/29/18,13,52.71982587
60628,6/30/18,14,43.16894335
60643,6/30/18,14,42.91728213
60620,6/30/18,13,40.05263158
60643,6/30/18,13,49.59928444
60628,6/30/18,13,44.81857936
60628,6/30/18,14,43.16894335
60643,6/30/18,14,42.91728213
60620,6/30/18,13,40.05263158
60643,6/30/18,13,49.59928444
60628,6/30/18,13,44.81857936
60637,7/2/18,14,46.26298592
60615,7/2/18,13,46.52220803
60601,7/2/18,9,46.16952381
60615,7/2/18,14,47.33174614
0,7/2/18,14,49.06485248
60615,7/2/18,15,45.90525
60637,7/2/18,14,46.26298592
60615,7/2/18,13,46.52220803
60601,7/2/18,9,46.16952381
60615,7/2/18,14,47.33174614
0,7/2/18,14,49.06485248
60615,7/2/18,15,45.90525
60611,7/3/18,11,40.87288657
60654,7/3/18,10,45.51445035
60610,7/3/18,12,40.10271437
60604,7/3/18,10,39.72579451
60611,7/3/18,13,38.82667235
0,7/3/18,15,57.4484558
0,7/3/18,12,37.65198238
0,7/3/18,16,55.67301821
60623,7/3/18,12,56.82424504
60602,7/3/18,12,54.41548697
60601,7/3/18,11,37.90458911
60654,7/3/18,11,41.99973589
60605,7/3/18,9,42.42355755
60611,7/3/18,12,40.812024
60601,7/3/18,12,49.92175395
60611,7/3/18,9,52.64472222
60610,7/3/18,11,52.41507937
60601,7/3/18,10,39.17632746
60601,7/3/18,13,39.97330127
0,7/3/18,13,40.53942593
60602,7/3/18,10,40.38460695
60605,7/3/18,10,40.49160537
60654,7/3/18,13,38.05263158
60601,7/3/18,9,40.70833917
60603,7/3/18,10,40.47330243
60623,7/3/18,11,60.44506696
60611,7/3/18,10,39.17974972
60602,7/3/18,13,38.45
60611,7/3/18,11,40.87288657
60654,7/3/18,10,45.51445035
60610,7/3/18,12,40.10271437
60604,7/3/18,10,39.72579451
60611,7/3/18,13,38.82667235
0,7/3/18,15,57.4484558
0,7/3/18,12,37.65198238
0,7/3/18,16,55.67301821
